指标,地方财政一般预算收入(亿元),地区生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),农林牧渔业增加值(亿元),工业增加值(亿元),建筑业增加值(亿元),金融业增加值(亿元),房地产业增加值(亿元),其他行业增加值(亿元),年末常住人口(万人),全社会固定资产投资(亿元),房地产开发投资(亿元),经营单位所在地进出口总额(千美元),经营单位所在地出口总额(千美元),经营单位所在地进口总额(千美元)
2014年,4027.16,21330.83,158.99,4544.8,16627.04,161.32,3746.77,902.66,3357.71,1329.2,8110.18,2152,6924.23,3715.33,415518593,62338417,353180176
2013年,3661.11,19800.81,159.64,4292.56,15348.61,161.83,3566.43,831.55,2943.13,1339.52,7371.1,2115,6847.06,3483.4,428995812,63097561,365898251
2012年,3314.93,17879.4,150.2,4059.27,13669.93,150.2,3294.32,764.95,2536.91,1244.17,6469.71,2069,6112.4,3153.44,408107320,59632089,348475229
2011年,3006.28,16251.93,136.27,3752.48,12363.18,136.27,3048.79,703.69,2215.41,1074.93,5775.82,2019,5578.93,3036.31,389555977,58997146,330558831
2010年,2353.93,14113.58,124.36,3388.38,10600.84,124.36,2763.99,624.39,1863.61,1006.52,4812.85,1962,5402.95,2901.07,301721548,55436211,246285337
2009年,2026.81,12153.03,118.29,2855.55,9179.19,118.29,2303.08,552.47,1603.63,1062.47,4168.91,1860,4616.92,2337.71,214733053,48379320,166353730
2008年,1837.32,11115,112.83,2626.41,8375.76,112.83,2131.75,494.66,1519.19,844.59,3811.91,1771,3814.73,1908.74,271692899,57499609,214193290
2007年,1492.64,9846.81,101.26,2509.4,7236.15,101.26,2082.76,426.64,1302.77,821.5,3271.14,1676,3907.2,1995.82,192999761,48926394,144073367
2006年,1117.15,8117.78,88.8,2191.43,5837.55,88.8,1821.86,369.57,982.37,658.3,2651.32,1601,3296.38,1719.87,158036628,37953979,120082649
2005年,919.21,6969.52,88.68,2026.51,4854.33,88.68,1707.04,319.47,840.2,493.73,2230.5,1538,2827.23,1525.01,125506425,30865901,94640525
2004年,744.49,6033.21,87.36,1853.58,4092.27,87.36,1554.73,298.85,713.79,436.11,1834.59,1493,2528.21,1473.29,94575725,20569256,74006469
2003年,592.54,5007.21,84.11,1487.15,3435.95,84.11,1224.48,262.67,635.56,341.88,1428.03,1456,2169.26,1202.48,68500170,16886820,51613350
2002年,533.99,4315,82.44,1249.99,2982.57,82.44,1021.16,228.83,561.91,298.02,1204.55,1423,1796.14,989.41,52505290,12613860,39891420
2001年,454.17,3707.96,80.78,1142.35,2484.83,80.78,938.81,203.54,487.54,203.55,973.74,1385,1513.32,783.82,51541310,11786870,39754440
2000年,345,3161.66,79.25,1033.29,2049.12,79.25,844.01,189.28,425.19,144.01,774.87,1364,1280.46,522.07,49621890,11968130,37653760
1999年,279.09,2678.82,78.35,907.34,1693.13,78.35,723.98,183.36,356.85,105.55,616.53,1343,1171.16,421.46,34359510,9903520,24455990
1998年,229.45,2377.18,77.86,840.57,1458.75,77.86,670.36,170.21,307.38,75.32,526.24,1321,1124.62,377.4,30506080,10512930,19993150
1997年,209.91,2077.09,77.18,781.85,1218.06,77.18,635.91,145.94,268.14,48.21,419.2,1296,961.2,330.34,30388520,9611030,20777490
1996年,150.9,1789.2,73.36,714.65,1001.19,73.36,576.14,138.51,194.71,34.63,368.21,1264,876.9,328.18,29318330,8119750,21198580
1995年,115.26,1507.69,72.16,645.81,789.72,72.16,527.76,118.05,152.92,22.45,289.12,1248,841.5,352.77,37033780,10249930,26783850
